Mois;Qualité;Territoire;Production totale;Consommation totale;Solde exportateur
2015-11;Données définitives;Occitanie;2815;3114;-458
2015-11;Données définitives;Normandie;6061;2375;3686
2015-11;Données définitives;Hauts-de-France;4541;4506;34
2015-11;Données définitives;PACA;1701;3544;-1842
2015-11;Données définitives;Pays-de-la-Loire;592;2257;-1665
2015-12;Données consolidées;Grand-Est;10730;4132;6480
2015-12;Données définitives;Nouvelle-Aquitaine;5059;4173;886
2015-12;Données définitives;Auvergne-Rhône-Alpes;10027;6269;3304
2015-12;Données définitives;Bourgogne-Franche-Comté;253;2048;-1796
2015-12;Données définitives;Bretagne;428;2041;-1617
2015-12;Données définitives;Centre-Val de Loire;8196;1801;6395
2015-12;Données définitives;France;51764;44727;6143
2015-12;Données définitives;Ile-de-France;450;6778;-6327
2015-12;Données définitives;Occitanie;2744;3566;-1001
2015-12;Données définitives;Normandie;6502;2539;3963
2015-12;Données définitives;Hauts-de-France;5290;4638;651
2015-12;Données définitives;PACA;1376;3985;-2609
2015-12;Données définitives;Pays-de-la-Loire;573;2536;-1962
2016-01;Données consolidées;Grand-Est;11304;4741;6447
2016-01;Données définitives;Nouvelle-Aquitaine;5627;4510;1117
2016-01;Données définitives;Auvergne-Rhône-Alpes;11918;6913;4538
2016-01;Données définitives;Bourgogne-Franche-Comté;330;2234;-1905
2016-01;Données définitives;Bretagne;421;2388;-1972
2016-01;Données définitives;Centre-Val de Loire;8835;2037;6797
2016-01;Données définitives;France;55982;50161;4876
2016-01;Données définitives;Ile-de-France;478;7798;-7319
2016-01;Données définitives;Occitanie;3268;3929;-829
2016-01;Données définitives;Normandie;6117;2968;3149
2016-01;Données définitives;Hauts-de-France;5231;5203;27
2016-01;Données définitives;PACA;1412;4320;-2908
2016-01;Données définitives;Pays-de-la-Loire;880;2881;-2001
2016-02;Données consolidées;Grand-Est;9739;4385;5253
2016-02;Données définitives;Nouvelle-Aquitaine;4833;4240;592
2016-02;Données définitives;Auvergne-Rhône-Alpes;11716;6482;4884
2016-02;Données définitives;Bourgogne-Franche-Comté;364;2072;-1709
2016-02;Données définitives;Bretagne;393;2233;-1843
2016-02;Données définitives;Centre-Val de Loire;8209;1909;6299
2016-02;Données définitives;France;51979;46440;4759
2016-02;Données définitives;Ile-de-France;452;7125;-6673
2016-02;Données définitives;Occitanie;3391;3621;-386
2016-02;Données définitives;Normandie;6271;2764;3506
2016-02;Données définitives;Hauts-de-France;4273;4852;-578
2016-02;Données définitives;PACA;1501;3865;-2364
2016-02;Données définitives;Pays-de-la-Loire;683;2681;-1997
2016-03;Données consolidées;Grand-Est;9692;4478;5124
2016-03;Données définitives;Nouvelle-Aquitaine;4790;4304;485
2016-03;Données définitives;Auvergne-Rhône-Alpes;10834;6641;3895
2016-03;Données définitives;Bourgogne-Franche-Comté;326;2116;-1791
2016-03;Données définitives;Bretagne;398;2296;-1902
2016-03;Données définitives;Centre-Val de Loire;7852;1906;5946
2016-03;Données définitives;France;52037;47270;4026
2016-03;Données définitives;Ile-de-France;442;7257;-6814
2016-03;Données définitives;Occitanie;3711;3674;-110
2016-03;Données définitives;Normandie;6399;2837;3562
2016-03;Données définitives;Hauts-de-France;4953;4904;49
2016-03;Données définitives;PACA;1745;3889;-2143
2016-03;Données définitives;Pays-de-la-Loire;736;2752;-2015
2016-04;Données consolidées;Grand-Est;8958;3810;5071
2016-04;Données définitives;Nouvelle-Aquitaine;3920;3581;338
2016-04;Données définitives;Auvergne-Rhône-Alpes;9636;5431;3900
2016-04;Données définitives;Bourgogne-Franche-Comté;209;1734;-1525
2016-04;Données définitives;Bretagne;211;1918;-1711
2016-04;Données définitives;Centre-Val de Loire;6143;1537;4605
2016-04;Données définitives;France;43190;39102;3503
2016-04;Données définitives;Ile-de-France;130;5950;-5819
2016-04;Données définitives;Occitanie;3463;2904;541
2016-04;Données définitives;Normandie;4759;2437;2322
2016-04;Données définitives;Hauts-de-France;3473;4205;-731
2016-04;Données définitives;PACA;1749;3091;-1341
2016-04;Données définitives;Pays-de-la-Loire;418;2341;-1922
2016-05;Données consolidées;Grand-Est;8016;3478;4439
2016-05;Données définitives;Nouvelle-Aquitaine;4132;3091;1041
2016-05;Données définitives;Auvergne-Rhône-Alpes;9792;4974;4511
2016-05;Données définitives;Bourgogne-Franche-Comté;238;1598;-1360
2016-05;Données définitives;Bretagne;185;1562;-1381
2016-05;Données définitives;Centre-Val de Loire;5971;1316;4655
2016-05;Données définitives;France;40641;34746;5025
2016-05;Données définitives;Ile-de-France;140;5272;-5131
2016-05;Données définitives;Occitanie;2752;2612;-71
2016-05;Données définitives;Normandie;4533;2024;2508
2016-05;Données définitives;Hauts-de-France;3172;3802;-629
2016-05;Données définitives;PACA;1419;2919;-1500
2016-05;Données définitives;Pays-de-la-Loire;172;1940;-1768
2016-06;Données consolidées;Grand-Est;7615;3273;4254
2016-06;Données définitives;Nouvelle-Aquitaine;4242;2914;1327
2016-06;Données définitives;Auvergne-Rhône-Alpes;8617;4674;3676
2016-06;Données définitives;Bourgogne-Franche-Comté;225;1496;-1271
2016-06;Données définitives;Bretagne;151;1458;-1311
2016-06;Données définitives;Centre-Val de Loire;5550;1207;4342
2016-06;Données définitives;France;40033;32852;6389
2016-06;Données définitives;Ile-de-France;123;4945;-4821
2016-06;Données définitives;Occitanie;2846;2482;178
2016-06;Données définitives;Normandie;5266;1922;3344
2016-06;Données définitives;Hauts-de-France;3479;3697;-218
2016-06;Données définitives;PACA;1659;2824;-1165
2016-06;Données définitives;Pays-de-la-Loire;146;1802;-1655
2016-07;Données consolidées;Grand-Est;8262;3267;4893
2016-07;Données définitives;Nouvelle-Aquitaine;4031;3187;844
2016-07;Données définitives;Auvergne-Rhône-Alpes;8179;4815;3131
2016-07;Données définitives;Bourgogne-Franche-Comté;135;1497;-1362
2016-07;Données définitives;Bretagne;169;1460;-1296
2016-07;Données définitives;Centre-Val de Loire;4592;1240;3352
2016-07;Données définitives;France;38447;33718;4033
2016-07;Données définitives;Ile-de-France;156;4756;-4599
2016-07;Données définitives;Occitanie;2878;2757;-18
2016-07;Données définitives;Normandie;4964;1935;3029
2016-07;Données définitives;Hauts-de-France;3308;3589;-280
2016-07;Données définitives;PACA;1476;3176;-1700
2016-07;Données définitives;Pays-de-la-Loire;153;1847;-1693
2016-08;Données consolidées;Grand-Est;7725;3042;4582
2016-08;Données définitives;Nouvelle-Aquitaine;3834;3121;712
2016-08;Données définitives;Auvergne-Rhône-Alpes;6788;4435;2089
2016-08;Données définitives;Bourgogne-Franche-Comté;116;1425;-1309
2016-08;Données définitives;Bretagne;191;1439;-1253
2016-08;Données définitives;Centre-Val de Loire;5118;1187;3931
2016-08;Données définitives;France;36034;32132;3212
2016-08;Données définitives;Ile-de-France;123;4449;-4326
2016-08;Données définitives;Occitanie;2755;2759;-168
2016-08;Données définitives;Normandie;4737;1862;2874
2016-08;Données définitives;Hauts-de-France;3252;3347;-95
2016-08;Données définitives;PACA;1097;3080;-1982
2016-08;Données définitives;Pays-de-la-Loire;155;1792;-1637
2016-09;Données consolidées;Grand-Est;8805;3348;5356
2016-09;Données définitives;Nouvelle-Aquitaine;3248;2973;275
2016-09;Données définitives;Auvergne-Rhône-Alpes;6754;4709;1729
2016-09;Données définitives;Bourgogne-Franche-Comté;144;1538;-1394
2016-09;Données définitives;Bretagne;166;1464;-1302
2016-09;Données définitives;Centre-Val de Loire;4970;1225;3744
2016-09;Données définitives;France;36431;33245;2508
2016-09;Données définitives;Ile-de-France;164;4820;-4656
2016-09;Données définitives;Occitanie;2583;2623;-107
2016-09;Données définitives;Normandie;4028;1931;2097
2016-09;Données définitives;Hauts-de-France;3389;3645;-256
2016-09;Données définitives;PACA;1748;2971;-1222
2016-09;Données définitives;Pays-de-la-Loire;320;1833;-1512
2016-10;Données consolidées;Grand-Est;8366;3896;4350
2016-10;Données définitives;Nouvelle-Aquitaine;4209;3409;800
2016-10;Données définitives;Auvergne-Rhône-Alpes;7712;5475;1860
2016-10;Données définitives;Bourgogne-Franche-Comté;176;1803;-1626
2016-10;Données définitives;Bretagne;194;1765;-1575
2016-10;Données définitives;Centre-Val de Loire;6227;1500;4726
2016-10;Données définitives;France;39917;38590;522
2016-10;Données définitives;Ile-de-France;270;5878;-5608
2016-10;Données définitives;Occitanie;2725;2828;-200
2016-10;Données définitives;Normandie;4055;2297;1758
2016-10;Données définitives;Hauts-de-France;3159;4235;-1076
2016-10;Données définitives;PACA;2086;3148;-1062
2016-10;Données définitives;Pays-de-la-Loire;633;2197;-1563
2016-11;Données consolidées;Grand-Est;9969;4352;5520
2016-11;Données définitives;Nouvelle-Aquitaine;4290;3988;302
2016-11;Données définitives;Auvergne-Rhône-Alpes;7666;6088;1226
2016-11;Données définitives;Bourgogne-Franche-Comté;267;2043;-1777
2016-11;Données définitives;Bretagne;337;2097;-1763
2016-11;Données définitives;Centre-Val de Loire;6724;1784;4939
2016-11;Données définitives;France;45494;44293;413
2016-11;Données définitives;Ile-de-France;638;6866;-6227
2016-11;Données définitives;Occitanie;2857;3335;-603
2016-11;Données définitives;Normandie;5750;2652;3098
2016-11;Données définitives;Hauts-de-France;3833;4763;-930
2016-11;Données définitives;PACA;2156;3610;-1454
2016-11;Données définitives;Pays-de-la-Loire;883;2532;-1648
2016-12;Données consolidées;Grand-Est;9737;4752;4910
2016-12;Données définitives;Nouvelle-Aquitaine;4537;4618;-80
2016-12;Données définitives;Auvergne-Rhône-Alpes;9030;7130;1590
2016-12;Données définitives;Bourgogne-Franche-Comté;246;2333;-2090
2016-12;Données définitives;Bretagne;328;2386;-2063
2016-12;Données définitives;Centre-Val de Loire;8432;2093;6338
2016-12;Données définitives;France;51225;50670;-125
2016-12;Données définitives;Ile-de-France;621;7905;-7283
2016-12;Données définitives;Occitanie;3177;3979;-939
2016-12;Données définitives;Normandie;7360;3012;4347
2016-12;Données définitives;Hauts-de-France;4190;5146;-956
2016-12;Données définitives;PACA;2515;4122;-1607
2016-12;Données définitives;Pays-de-la-Loire;905;2967;-2061
2017-01;Données consolidées;Grand-Est;11174;5307;5784
2017-01;Données définitives;Nouvelle-Aquitaine;4736;5378;-641
2017-01;Données définitives;Auvergne-Rhône-Alpes;11027;8014;2716
2017-01;Données définitives;Bourgogne-Franche-Comté;306;2606;-2303
2017-01;Données définitives;Bretagne;374;2723;-2353
2017-01;Données définitives;Centre-Val de Loire;8841;2376;6464
2017-01;Données définitives;France;57222;57406;-950
2017-01;Données définitives;Ile-de-France;944;8894;-7949
2017-01;Données définitives;Occitanie;3491;4762;-1439
2017-01;Données définitives;Normandie;7275;3308;3967
2017-01;Données définitives;Hauts-de-France;4918;5695;-777
2017-01;Données définitives;PACA;2665;4721;-2058
2017-01;Données définitives;Pays-de-la-Loire;1287;3351;-2063
2017-02;Données consolidées;Grand-Est;9601;4198;5323
2017-02;Données définitives;Nouvelle-Aquitaine;3917;3983;-65
2017-02;Données définitives;Auvergne-Rhône-Alpes;9723;6086;3304
2017-02;Données définitives;Bourgogne-Franche-Comté;292;1988;-1696
2017-02;Données définitives;Bretagne;398;2146;-1752
2017-02;Données définitives;Centre-Val de Loire;7965;1781;6184
2017-02;Données définitives;France;48028;43869;3418
2017-02;Données définitives;Ile-de-France;477;6669;-6191
2017-02;Données définitives;Occitanie;3020;3433;-624
2017-02;Données définitives;Normandie;5423;2626;2797
2017-02;Données définitives;Hauts-de-France;4370;4618;-248
2017-02;Données définitives;PACA;1660;3559;-1904
2017-02;Données définitives;Pays-de-la-Loire;1026;2576;-1550
2017-03;Données consolidées;Grand-Est;8133;4123;3945
2017-03;Données définitives;Nouvelle-Aquitaine;5253;3900;1352
2017-03;Données définitives;Auvergne-Rhône-Alpes;11154;5969;4819
2017-03;Données définitives;Bourgogne-Franche-Comté;330;1931;-1604
2017-03;Données définitives;Bretagne;421;2051;-1633
2017-03;Données définitives;Centre-Val de Loire;8668;1724;6943
2017-03;Données définitives;France;49750;42723;6249
2017-03;Données définitives;Ile-de-France;425;6447;-6022
2017-03;Données définitives;Occitanie;3032;3273;-464
2017-03;Données définitives;Normandie;5145;2545;2600
2017-03;Données définitives;Hauts-de-France;4547;4564;-16
2017-03;Données définitives;PACA;1887;3476;-1594
2017-03;Données définitives;Pays-de-la-Loire;617;2526;-1909
2017-04;Données consolidées;Grand-Est;6914;3607;3249
2017-04;Données définitives;Nouvelle-Aquitaine;4913;3304;1609
2017-04;Données définitives;Auvergne-Rhône-Alpes;9236;5180;3756
2017-04;Données définitives;Bourgogne-Franche-Comté;176;1681;-1510
2017-04;Données définitives;Bretagne;192;1683;-1495
2017-04;Données définitives;Centre-Val de Loire;7985;1473;6512
2017-04;Données définitives;France;42574;36650;5175
2017-04;Données définitives;Ile-de-France;125;5472;-5346
2017-04;Données définitives;Occitanie;2789;2719;-135
2017-04;Données définitives;Normandie;4701;2227;2474
2017-04;Données définitives;Hauts-de-France;3326;4023;-697
2017-04;Données définitives;PACA;1370;3011;-1645
2017-04;Données définitives;Pays-de-la-Loire;726;2104;-1377
2017-05;Données consolidées;Grand-Est;8201;3480;4659
2017-05;Données définitives;Nouvelle-Aquitaine;4633;3085;1548
2017-05;Données définitives;Auvergne-Rhône-Alpes;8595;5006;3227
2017-05;Données définitives;Bourgogne-Franche-Comté;198;1632;-1440
2017-05;Données définitives;Bretagne;221;1556;-1341
2017-05;Données définitives;Centre-Val de Loire;6628;1323;5305
2017-05;Données définitives;France;41560;35037;5700
2017-05;Données définitives;Ile-de-France;125;5211;-5085
2017-05;Données définitives;Occitanie;3348;2656;477
2017-05;Données définitives;Normandie;3923;2072;1850
2017-05;Données définitives;Hauts-de-France;3528;3876;-347
2017-05;Données définitives;PACA;1473;3007;-1539
2017-05;Données définitives;Pays-de-la-Loire;580;1974;-1394
2017-06;Données consolidées;Grand-Est;8436;3318;5044
2017-06;Données définitives;Nouvelle-Aquitaine;3287;2999;287
2017-06;Données définitives;Auvergne-Rhône-Alpes;8083;4778;3001
2017-06;Données définitives;Bourgogne-Franche-Comté;172;1511;-1344
2017-06;Données définitives;Bretagne;202;1434;-1237
2017-06;Données définitives;Centre-Val de Loire;5199;1282;3916
2017-06;Données définitives;France;37373;33374;3246
2017-06;Données définitives;Ile-de-France;146;4824;-4678
2017-06;Données définitives;Occitanie;2938;2658;124
2017-06;Données définitives;Normandie;3654;1890;1764
2017-06;Données définitives;Hauts-de-France;3293;3629;-336
2017-06;Données définitives;PACA;1506;3028;-1530
2017-06;Données définitives;Pays-de-la-Loire;327;1852;-1524
2017-07;Données consolidées;Grand-Est;9412;3332;6008
2017-07;Données définitives;Nouvelle-Aquitaine;3618;3126;492
2017-07;Données définitives;Auvergne-Rhône-Alpes;8735;4875;3653
2017-07;Données définitives;Bourgogne-Franche-Comté;163;1536;-1377
2017-07;Données définitives;Bretagne;216;1477;-1267
2017-07;Données définitives;Centre-Val de Loire;4870;1291;3578
2017-07;Données définitives;France;38905;33877;4353
2017-07;Données définitives;Ile-de-France;153;4693;-4539
2017-07;Données définitives;Occitanie;1973;2737;-957
2017-07;Données définitives;Normandie;4412;1930;2482
2017-07;Données définitives;Hauts-de-France;3100;3595;-495
2017-07;Données définitives;PACA;1504;3210;-1709
2017-07;Données définitives;Pays-de-la-Loire;599;1878;-1278
2017-08;Données consolidées;Grand-Est;7202;3022;4099
2017-08;Données définitives;Nouvelle-Aquitaine;3496;3067;428
2017-08;Données définitives;Auvergne-Rhône-Alpes;9093;4515;4331
2017-08;Données définitives;Bourgogne-Franche-Comté;137;1373;-1241
2017-08;Données définitives;Bretagne;193;1456;-1268
2017-08;Données définitives;Centre-Val de Loire;5405;1206;4198
2017-08;Données définitives;France;37164;32110;4397
2017-08;Données définitives;Ile-de-France;124;4342;-4218
2017-08;Données définitives;Occitanie;1913;2757;-1009
2017-08;Données définitives;Normandie;4300;1831;2469
2017-08;Données définitives;Hauts-de-France;3773;3375;397
2017-08;Données définitives;PACA;1133;3186;-2056
2017-08;Données définitives;Pays-de-la-Loire;237;1771;-1533
2017-09;Données consolidées;Grand-Est;7376;3427;3866
2017-09;Données définitives;Nouvelle-Aquitaine;4110;3003;1107
2017-09;Données définitives;Auvergne-Rhône-Alpes;9830;4776;4755
2017-09;Données définitives;Bourgogne-Franche-Comté;189;1543;-1357
2017-09;Données définitives;Bretagne;215;1529;-1319
2017-09;Données définitives;Centre-Val de Loire;4608;1237;3370
2017-09;Données définitives;France;38655;33633;4333
2017-09;Données définitives;Ile-de-France;141;4902;-4760
2017-09;Données définitives;Occitanie;1854;2560;-801
2017-09;Données définitives;Normandie;4199;1971;2228
2017-09;Données définitives;Hauts-de-France;4203;3775;427
2017-09;Données définitives;PACA;1319;2880;-1565
2017-09;Données définitives;Pays-de-la-Loire;493;1868;-1374
2017-10;Données consolidées;Grand-Est;8083;3811;4200
2017-10;Données définitives;Nouvelle-Aquitaine;5224;3235;1988
2017-10;Données définitives;Auvergne-Rhône-Alpes;7221;5158;1663
2017-10;Données définitives;Bourgogne-Franche-Comté;208;1743;-1535
2017-10;Données définitives;Bretagne;202;1688;-1490
2017-10;Données définitives;Centre-Val de Loire;4693;1398;3295
2017-10;Données définitives;France;39700;36615;2171
2017-10;Données définitives;Ile-de-France;170;5452;-5281
2017-10;Données définitives;Occitanie;2759;2701;-134
2017-10;Données définitives;Normandie;4198;2181;2017
2017-10;Données définitives;Hauts-de-France;4082;4106;-23
2017-10;Données définitives;PACA;1761;2942;-1188
2017-10;Données définitives;Pays-de-la-Loire;991;2047;-1056
2017-11;Données consolidées;Grand-Est;8932;4334;4516
2017-11;Données définitives;Nouvelle-Aquitaine;5468;4173;1294
2017-11;Données définitives;Auvergne-Rhône-Alpes;6629;6331;-46
2017-11;Données définitives;Bourgogne-Franche-Comté;306;2087;-1780
2017-11;Données définitives;Bretagne;333;2104;-1775
2017-11;Données définitives;Centre-Val de Loire;5756;1796;3960
2017-11;Données définitives;France;44983;44960;-826
2017-11;Données définitives;Ile-de-France;573;6740;-6166
2017-11;Données définitives;Occitanie;3054;3615;-728
2017-11;Données définitives;Normandie;5725;2602;3123
2017-11;Données définitives;Hauts-de-France;4721;4748;-26
2017-11;Données définitives;PACA;2222;3673;-1454
2017-11;Données définitives;Pays-de-la-Loire;1134;2559;-1425
2017-12;Données consolidées;Grand-Est;10562;4654;5824
2017-12;Données définitives;Nouvelle-Aquitaine;5786;4832;953
2017-12;Données définitives;Auvergne-Rhône-Alpes;9369;7226;1767
2017-12;Données définitives;Bourgogne-Franche-Comté;414;2309;-1898
2017-12;Données définitives;Bretagne;480;2432;-1957
2017-12;Données définitives;Centre-Val de Loire;7317;2091;5226
2017-12;Données définitives;France;53317;51754;682
2017-12;Données définitives;Ile-de-France;554;7672;-7118
2017-12;Données définitives;Occitanie;3244;4472;-1445
2017-12;Données définitives;Normandie;7090;2966;4124
2017-12;Données définitives;Hauts-de-France;5515;5331;184
2017-12;Données définitives;PACA;1844;4584;-2744
2017-12;Données définitives;Pays-de-la-Loire;970;2925;-1954
2018-01;Données consolidées;Grand-Est;10424;4533;5789
2018-01;Données définitives;Nouvelle-Aquitaine;6138;4512;1626
2018-01;Données définitives;Auvergne-Rhône-Alpes;11959;6776;4731
2018-01;Données définitives;Bourgogne-Franche-Comté;520;2160;-1640
2018-01;Données définitives;Bretagne;541;2375;-1839
2018-01;Données définitives;Centre-Val de Loire;7825;1956;5869
2018-01;Données définitives;France;56859;48807;7004
2018-01;Données définitives;Ile-de-France;409;7062;-6652
2018-01;Données définitives;Occitanie;3907;3984;-303
2018-01;Données définitives;Normandie;7194;2900;4294
2018-01;Données définitives;Hauts-de-France;5717;5480;237
2018-01;Données définitives;PACA;1417;4031;-2622
2018-01;Données définitives;Pays-de-la-Loire;651;2814;-2163
2018-02;Données consolidées;Grand-Est;9846;4601;5185
2018-02;Données définitives;Nouvelle-Aquitaine;5519;4732;787
2018-02;Données définitives;Auvergne-Rhône-Alpes;10552;6918;3382
2018-02;Données définitives;Bourgogne-Franche-Comté;390;2222;-1833
2018-02;Données définitives;Bretagne;446;2424;-1981
2018-02;Données définitives;Centre-Val de Loire;7201;2092;5109
2018-02;Données définitives;France;53803;50236;2755
2018-02;Données définitives;Ile-de-France;461;7693;-7231
2018-02;Données définitives;Occitanie;3903;4171;-432
2018-02;Données définitives;Normandie;6452;2957;3495
2018-02;Données définitives;Hauts-de-France;5488;5018;469
2018-02;Données définitives;PACA;2379;4208;-1831
2018-02;Données définitives;Pays-de-la-Loire;1002;2959;-1957
2018-03;Données consolidées;Grand-Est;9641;4570;4991
2018-03;Données définitives;Nouvelle-Aquitaine;5142;4400;742
2018-03;Données définitives;Auvergne-Rhône-Alpes;10578;6747;3479
2018-03;Données définitives;Bourgogne-Franche-Comté;418;2180;-1764
2018-03;Données définitives;Bretagne;486;2411;-1928
2018-03;Données définitives;Centre-Val de Loire;7569;1916;5653
2018-03;Données définitives;France;52493;48484;3101
2018-03;Données définitives;Ile-de-France;501;7441;-6940
2018-03;Données définitives;Occitanie;4115;3867;60
2018-03;Données définitives;Normandie;5655;2894;2761
2018-03;Données définitives;Hauts-de-France;5085;4935;150
2018-03;Données définitives;PACA;2174;4058;-1885
2018-03;Données définitives;Pays-de-la-Loire;943;2829;-1886
2018-04;Données consolidées;Grand-Est;7567;3494;4003
2018-04;Données définitives;Nouvelle-Aquitaine;3997;3264;733
2018-04;Données définitives;Auvergne-Rhône-Alpes;9425;5141;3873
2018-04;Données définitives;Bourgogne-Franche-Comté;263;1618;-1360
2018-04;Données définitives;Bretagne;239;1758;-1522
2018-04;Données définitives;Centre-Val de Loire;6412;1373;5038
2018-04;Données définitives;France;42705;36236;5597
2018-04;Données définitives;Ile-de-France;122;5297;-5175
2018-04;Données définitives;Occitanie;3609;2875;554
2018-04;Données définitives;Normandie;5440;2187;3252
2018-04;Données définitives;Hauts-de-France;3501;3843;-342
2018-04;Données définitives;PACA;1589;3087;-1498
2018-04;Données définitives;Pays-de-la-Loire;388;2128;-1739
2018-05;Données consolidées;Grand-Est;8307;3343;4897
2018-05;Données définitives;Nouvelle-Aquitaine;4046;3092;953
2018-05;Données définitives;Auvergne-Rhône-Alpes;10106;4876;4878
2018-05;Données définitives;Bourgogne-Franche-Comté;188;1545;-1362
2018-05;Données définitives;Bretagne;213;1534;-1325
2018-05;Données définitives;Centre-Val de Loire;6968;1264;5704
2018-05;Données définitives;France;42701;33949;7851
2018-05;Données définitives;Ile-de-France;128;5005;-4877
2018-05;Données définitives;Occitanie;3218;2706;300
2018-05;Données définitives;Normandie;4247;1944;2302
2018-05;Données définitives;Hauts-de-France;3244;3683;-439
2018-05;Données définitives;PACA;1633;2878;-1247
2018-05;Données définitives;Pays-de-la-Loire;257;1915;-1657
2018-06;Données consolidées;Grand-Est;8156;3272;4821
2018-06;Données définitives;Nouvelle-Aquitaine;3835;2896;939
2018-06;Données définitives;Auvergne-Rhône-Alpes;9853;4716;4872
2018-06;Données définitives;Bourgogne-Franche-Comté;209;1488;-1281
2018-06;Données définitives;Bretagne;189;1445;-1260
2018-06;Données définitives;Centre-Val de Loire;5876;1214;4661
2018-06;Données définitives;France;40680;32553;7357
2018-06;Données définitives;Ile-de-France;126;4764;-4638
2018-06;Données définitives;Occitanie;2692;2543;-46
2018-06;Données définitives;Normandie;4670;1842;2828
2018-06;Données définitives;Hauts-de-France;3058;3530;-471
2018-06;Données définitives;PACA;1652;2853;-1202
2018-06;Données définitives;Pays-de-la-Loire;245;1831;-1585
2018-07;Données consolidées;Grand-Est;7293;3361;3876
2018-07;Données définitives;Nouvelle-Aquitaine;4512;3211;1300
2018-07;Données définitives;Auvergne-Rhône-Alpes;8870;4990;3658
2018-07;Données définitives;Bourgogne-Franche-Comté;147;1529;-1383
2018-07;Données définitives;Bretagne;193;1489;-1300
2018-07;Données définitives;Centre-Val de Loire;6345;1297;5047
2018-07;Données définitives;France;41173;34514;6011
2018-07;Données définitives;Ile-de-France;146;4899;-4753
2018-07;Données définitives;Occitanie;2386;2911;-688
2018-07;Données définitives;Normandie;5530;1901;3629
2018-07;Données définitives;Hauts-de-France;3646;3604;42
2018-07;Données définitives;PACA;1263;3204;-1941
2018-07;Données définitives;Pays-de-la-Loire;698;1915;-1217
2018-08;Données consolidées;Grand-Est;5120;3053;2018
2018-08;Données définitives;Nouvelle-Aquitaine;4335;3123;1212
2018-08;Données définitives;Auvergne-Rhône-Alpes;8232;4561;3400
2018-08;Données définitives;Bourgogne-Franche-Comté;163;1403;-1241
2018-08;Données définitives;Bretagne;174;1466;-1296
2018-08;Données définitives;Centre-Val de Loire;6211;1253;4958
2018-08;Données définitives;France;37215;32384;4142
2018-08;Données définitives;Ile-de-France;140;4386;-4245
2018-08;Données définitives;Occitanie;1814;2843;-1222
2018-08;Données définitives;Normandie;5756;1816;3939
2018-08;Données définitives;Hauts-de-France;3514;3351;162
2018-08;Données définitives;PACA;1064;3134;-2070
2018-08;Données définitives;Pays-de-la-Loire;536;1783;-1246
2018-09;Données consolidées;Grand-Est;7222;3259;3910
2018-09;Données définitives;Nouvelle-Aquitaine;4446;2947;1498
2018-09;Données définitives;Auvergne-Rhône-Alpes;7978;4657;2942
2018-09;Données définitives;Bourgogne-Franche-Comté;229;1479;-1252
2018-09;Données définitives;Bretagne;225;1459;-1238
2018-09;Données définitives;Centre-Val de Loire;5805;1213;4591
2018-09;Données définitives;France;38804;32620;5355
2018-09;Données définitives;Ile-de-France;120;4693;-4573
2018-09;Données définitives;Occitanie;2538;2592;-229
2018-09;Données définitives;Normandie;5831;1918;3913
2018-09;Données définitives;Hauts-de-France;2809;3628;-818
2018-09;Données définitives;PACA;1078;2800;-1721
2018-09;Données définitives;Pays-de-la-Loire;406;1808;-1401
2018-10;Données consolidées;Grand-Est;9011;3779;5152
2018-10;Données définitives;Nouvelle-Aquitaine;4043;3318;724
2018-10;Données définitives;Auvergne-Rhône-Alpes;7868;5260;2210
2018-10;Données définitives;Bourgogne-Franche-Comté;228;1708;-1480
2018-10;Données définitives;Bretagne;246;1746;-1505
2018-10;Données définitives;Centre-Val de Loire;5478;1408;4069
2018-10;Données définitives;France;42305;37052;4371
2018-10;Données définitives;Ile-de-France;135;5533;-5398
2018-10;Données définitives;Occitanie;3025;2813;6
2018-10;Données définitives;Normandie;5394;2246;3148
2018-10;Données définitives;Hauts-de-France;4466;4127;339
2018-10;Données définitives;PACA;1546;2849;-1303
2018-10;Données définitives;Pays-de-la-Loire;755;2108;-1353
2018-11;Données consolidées;Grand-Est;10789;4253;6487
2018-11;Données définitives;Nouvelle-Aquitaine;5293;4042;1250
2018-11;Données définitives;Auvergne-Rhône-Alpes;8152;5962;1771
2018-11;Données définitives;Bourgogne-Franche-Comté;286;1970;-1683
2018-11;Données définitives;Bretagne;408;2138;-1734
2018-11;Données définitives;Centre-Val de Loire;4883;1750;3132
2018-11;Données définitives;France;46396;43814;1679
2018-11;Données définitives;Ile-de-France;481;6759;-6278
2018-11;Données définitives;Occitanie;3291;3403;-307
2018-11;Données définitives;Normandie;4880;2621;2259
2018-11;Données définitives;Hauts-de-France;5135;4732;403
2018-11;Données définitives;PACA;2029;3436;-1407
2018-11;Données définitives;Pays-de-la-Loire;634;2564;-1929
2018-12;Données consolidées;Grand-Est;11229;4370;6814
2018-12;Données définitives;Nouvelle-Aquitaine;5561;4318;1243
2018-12;Données définitives;Auvergne-Rhône-Alpes;11320;6685;4234
2018-12;Données définitives;Bourgogne-Franche-Comté;416;2088;-1675
2018-12;Données définitives;Bretagne;475;2293;-1823
2018-12;Données définitives;Centre-Val de Loire;7256;1980;5276
2018-12;Données définitives;France;53400;47562;5007
2018-12;Données définitives;Ile-de-France;472;7234;-6761
2018-12;Données définitives;Occitanie;3164;3867;-907
2018-12;Données définitives;Normandie;5034;2782;2251
