Mois;Qualité;Territoire;Production totale;Consommation totale;Solde exportateur
2013-05;Données définitives;Ile-de-France;141;0;
2013-05;Données définitives;Occitanie;3672;0;
2013-05;Données définitives;Normandie;5021;0;
2013-05;Données définitives;Hauts-de-France;2988;0;
2013-05;Données définitives;PACA;1931;0;
2013-05;Données définitives;Pays-de-la-Loire;327;0;
2013-06;Données consolidées;Grand-Est;7282;0;0
2013-06;Données définitives;Nouvelle-Aquitaine;3521;0;0
2013-06;Données définitives;Auvergne-Rhône-Alpes;9750;0;0
2013-06;Données définitives;Bourgogne-Franche-Comté;147;0;0
2013-06;Données définitives;Bretagne;177;0;0
2013-06;Données définitives;Centre-Val de Loire;4883;0;
2013-06;Données définitives;France;39337;32973;5627
2013-06;Données définitives;Ile-de-France;192;0;
2013-06;Données définitives;Occitanie;3082;0;
2013-06;Données définitives;Normandie;5141;0;
2013-06;Données définitives;Hauts-de-France;3128;0;
2013-06;Données définitives;PACA;1643;0;
2013-06;Données définitives;Pays-de-la-Loire;285;0;
2013-07;Données consolidées;Grand-Est;8095;0;0
2013-07;Données définitives;Nouvelle-Aquitaine;3259;0;0
2013-07;Données définitives;Auvergne-Rhône-Alpes;9153;0;0
2013-07;Données définitives;Bourgogne-Franche-Comté;113;0;0
2013-07;Données définitives;Bretagne;167;0;0
2013-07;Données définitives;Centre-Val de Loire;5463;0;
2013-07;Données définitives;France;40850;34751;5453
2013-07;Données définitives;Ile-de-France;213;0;
2013-07;Données définitives;Occitanie;2874;0;
2013-07;Données définitives;Normandie;6070;0;
2013-07;Données définitives;Hauts-de-France;3617;0;
2013-07;Données définitives;PACA;1390;0;
2013-07;Données définitives;Pays-de-la-Loire;304;0;
2013-08;Données consolidées;Grand-Est;7615;0;0
2013-08;Données définitives;Nouvelle-Aquitaine;3608;0;0
2013-08;Données définitives;Auvergne-Rhône-Alpes;8779;0;0
2013-08;Données définitives;Bourgogne-Franche-Comté;104;0;0
2013-08;Données définitives;Bretagne;145;0;0
2013-08;Données définitives;Centre-Val de Loire;4385;0;
2013-08;Données définitives;France;38428;31591;6171
2013-08;Données définitives;Ile-de-France;206;0;
2013-08;Données définitives;Occitanie;1858;0;
2013-08;Données définitives;Normandie;6713;0;
2013-08;Données définitives;Hauts-de-France;3148;0;
2013-08;Données définitives;PACA;1209;0;
2013-08;Données définitives;Pays-de-la-Loire;520;0;
2013-09;Données consolidées;Grand-Est;7622;0;0
2013-09;Données définitives;Nouvelle-Aquitaine;4057;0;0
2013-09;Données définitives;Auvergne-Rhône-Alpes;8236;0;0
2013-09;Données définitives;Bourgogne-Franche-Comté;209;0;0
2013-09;Données définitives;Bretagne;140;0;0
2013-09;Données définitives;Centre-Val de Loire;4336;0;
2013-09;Données définitives;France;38604;33195;4705
2013-09;Données définitives;Ile-de-France;295;0;
2013-09;Données définitives;Occitanie;2446;0;
2013-09;Données définitives;Normandie;6200;0;
2013-09;Données définitives;Hauts-de-France;3020;0;
2013-09;Données définitives;PACA;1304;0;
2013-09;Données définitives;Pays-de-la-Loire;643;0;
2013-10;Données consolidées;Grand-Est;7614;0;0
2013-10;Données définitives;Nouvelle-Aquitaine;4592;0;0
2013-10;Données définitives;Auvergne-Rhône-Alpes;8876;0;0
2013-10;Données définitives;Bourgogne-Franche-Comté;161;0;0
2013-10;Données définitives;Bretagne;217;0;0
2013-10;Données définitives;Centre-Val de Loire;4701;0;
2013-10;Données définitives;France;41761;37063;3873
2013-10;Données définitives;Ile-de-France;323;0;
2013-10;Données définitives;Occitanie;2764;0;
2013-10;Données définitives;Normandie;6568;0;
2013-10;Données définitives;Hauts-de-France;3844;0;
2013-10;Données définitives;PACA;1292;0;
2013-10;Données définitives;Pays-de-la-Loire;724;0;
2013-11;Données consolidées;Grand-Est;10040;0;0
2013-11;Données définitives;Nouvelle-Aquitaine;4260;0;0
2013-11;Données définitives;Auvergne-Rhône-Alpes;10312;0;0
2013-11;Données définitives;Bourgogne-Franche-Comté;268;0;0
2013-11;Données définitives;Bretagne;263;0;0
2013-11;Données définitives;Centre-Val de Loire;6099;0;
2013-11;Données définitives;France;48527;45310;2381
2013-11;Données définitives;Ile-de-France;569;0;
2013-11;Données définitives;Occitanie;2836;0;
2013-11;Données définitives;Normandie;7104;0;
2013-11;Données définitives;Hauts-de-France;4317;0;
2013-11;Données définitives;PACA;1466;0;
2013-11;Données définitives;Pays-de-la-Loire;864;0;
2013-12;Données consolidées;Grand-Est;10172;0;0
