City,Colors Reported,Shape Reported,State,Time,hour
Detroit,,,MI,2/1/1978 0:00,00:00
Dublin,,TRIANGLE,NH,2/1/1978 22:00,00:00
Brighton,,TRIANGLE,MI,2/9/1978 19:45,00:00
Escawtawpa,,DISK,MS,2/11/1978 3:00,00:00
Eastport,ORANGE,CIGAR,ME,2/15/1978 2:00,00:00
Waltham,,,MA,2/15/1978 3:00,00:00
Geneseo,,,NY,2/20/1978 19:00,00:00
Soccoro,BLUE,,NM,2/21/1978 3:00,00:00
Los Gatos,,OVAL,CA,3/1/1978 17:00,00:00
Saint Clair Shores,,OVAL,MI,3/1/1978 19:30,00:00
Stoughton,,OTHER,MA,3/1/1978 22:00,00:00
Yreka,,TRIANGLE,CA,3/4/1978 22:00,00:00
Rose Hill,,RECTANGLE,NC,3/5/1978 21:00,00:00
Simi Valley,,OVAL,CA,3/7/1978 22:00,00:00
Bellevue,,DISK,WA,3/10/1978 21:00,00:00
Lolo,,LIGHT,MT,3/15/1978 1:00,00:00
Mississippi,,DISK,MS,3/15/1978 13:00,00:00
Denver,,TRIANGLE,CO,3/17/1978 19:00,00:00
Medford,,DISK,OR,3/21/1978 4:00,00:00
Winterhaven,,DISK,CA,3/25/1978 22:00,00:00
Farmington,,CIRCLE,NM,4/1/1978 4:00,00:00
Green Springs,,CYLINDER,OH,4/1/1978 21:30,00:00
Los Angeles,BLUE,,CA,4/4/1978 2:00,00:00
Natick,,SPHERE,MA,4/4/1978 21:00,00:00
Natick,,SPHERE,MA,4/4/1978 21:15,00:00
Natick,,SPHERE,MA,4/4/1978 22:00,00:00
Chittenango,,FIREBALL,NY,4/6/1978 20:00,00:00
Pleasant Hill,,,OR,4/15/1978 13:00,00:00
Richardson,,OTHER,TX,4/15/1978 13:00,00:00
Albuquerque,,DISK,NM,4/15/1978 18:00,00:00
Westland,,DISK,MI,4/19/1978 23:00,00:00
Tiffen Valley,,FLASH,OH,4/21/1978 0:00,00:00
Wrightstown,,LIGHT,PA,5/1/1978 0:00,00:00
Big Bear Lake,,DISK,CA,5/1/1978 18:00,00:00
Midway,,OTHER,KY,5/2/1978 21:00,00:00
Gardner,,OVAL,MA,5/5/1978 6:30,00:00
Pasadena,,CIGAR,CA,5/5/1978 13:00,00:00
Fort Worth,,LIGHT,TX,5/6/1978 0:00,00:00
Barrington,,TRIANGLE,IL,5/6/1978 21:00,00:00
Grand Prairie,,TRIANGLE,TX,5/7/1978 21:50,00:00
San Diego,,VARIOUS,CA,5/10/1978 20:30,00:00
Sandwich,BLUE,TRIANGLE,MA,5/10/1978 20:30,00:00
Paramus,,CIGAR,NJ,5/24/1978 1:30,00:00
Philadelphia,,FIREBALL,PA,5/29/1978 20:00,00:00
Grants Pass,RED YELLOW GREEN BLUE,DISK,OR,6/1/1978 0:00,00:00
Grand Saline,,LIGHT,TX,6/1/1978 0:30,00:00
Marshall,,CIGAR,IL,6/1/1978 1:00,00:00
Lancaster,,SPHERE,OH,6/1/1978 3:00,00:00
Las Vegas,,LIGHT,NV,6/1/1978 5:00,00:00
Hudsonville,,OTHER,MI,6/1/1978 12:00,00:00
Katy,,EGG,TX,6/1/1978 13:00,00:00
Georgia coast,,DIAMOND,GA,6/1/1978 14:00,00:00
Attica,,OVAL,MI,6/1/1978 18:00,00:00
Fulton,,FIREBALL,MO,6/1/1978 18:00,00:00
North Adams,,SPHERE,MA,6/1/1978 19:00,00:00
Pensacola,,OVAL,FL,6/1/1978 19:00,00:00
Elsberry,,LIGHT,MO,6/1/1978 20:00,00:00
Fort Hood,,CIRCLE,TX,6/1/1978 20:00,00:00
Ocean City,,TRIANGLE,NJ,6/1/1978 20:00,00:00
Philadelphia,,OTHER,PA,6/1/1978 20:00,00:00
Columbia,,CIRCLE,SC,6/1/1978 21:00,00:00
John's Island,GREEN,OVAL,SC,6/1/1978 21:00,00:00
Paterson,,DISK,NJ,6/1/1978 21:00,00:00
Lee Park,,DISK,PA,6/1/1978 21:30,00:00
Bourbonnais,,DISK,IL,6/1/1978 22:00,00:00
Florida Keys,,,FL,6/1/1978 22:00,00:00
Paxton,GREEN,,IL,6/1/1978 22:00,00:00
Sterling Park,,DISK,VA,6/1/1978 22:00,00:00
Victoria,,OVAL,TX,6/1/1978 22:00,00:00
Dallas,,OVAL,TX,6/5/1978 19:20,00:00
Tennyson,,FLASH,TX,6/10/1978 13:00,00:00
Diamond Bar,,,CA,6/12/1978 0:00,00:00
Los Angeles,,TRIANGLE,CA,6/14/1978 9:15,00:00
Warrensville,,TRIANGLE,PA,6/15/1978 0:00,00:00
Appleton,,LIGHT,MN,6/15/1978 0:30,00:00
Michigan,,,MI,6/15/1978 1:30,00:00
Boston,,SPHERE,MA,6/15/1978 3:00,00:00
Hoopa,,OVAL,CA,6/15/1978 12:00,00:00
Orange,,CIRCLE,CA,6/15/1978 14:00,00:00
Levittown,,DISK,NY,6/15/1978 17:00,00:00
Granite Station,,CYLINDER,CA,6/15/1978 17:30,00:00
Zimmerman,,TEARDROP,MN,6/15/1978 18:00,00:00
Madison Heights,,CIRCLE,VA,6/15/1978 19:30,00:00
Lowell,,CIGAR,MA,6/15/1978 20:00,00:00
Mancelona,,DISK,MI,6/15/1978 20:00,00:00
Baton Rouge,,OVAL,LA,6/15/1978 20:30,00:00
Chattanooga,,DISK,TN,6/15/1978 21:00,00:00
Mancelona,,DISK,MI,6/15/1978 21:00,00:00
Stanwood,,OTHER,WA,6/15/1978 21:00,00:00
Mancelona,,DISK,MI,6/15/1978 22:00,00:00
Mansfield,,,PA,6/15/1978 22:00,00:00
Seattle,,,WA,6/15/1978 22:30,00:00
Madera,,FIREBALL,PA,6/15/1978 23:00,00:00
St. Clair,,SPHERE,PA,6/20/1978 0:00,00:00
Three Oaks,,DISK,MI,6/20/1978 23:00,00:00
Albany,,FIREBALL,NY,6/21/1978 3:00,00:00
Lemoore Naval Air Force Base,,OVAL,CA,6/23/1978 9:30,00:00
Gulfport,,OTHER,MS,6/24/1978 1:00,00:00
Sadieville,,DISK,KY,6/25/1978 7:00,00:00
Griffin,,DISK,GA,6/30/1978 0:00,00:00
New Bedford,,FIREBALL,MA,6/30/1978 1:00,00:00
Twentynine Palms,,EGG,CA,6/30/1978 2:30,00:00
SerlingHights,ORANGE,CIRCLE,IL,6/30/1978 3:00,00:00
Hollister,,DISK,CA,6/30/1978 14:00,00:00
St. Petersburg,,FORMATION,FL,6/30/1978 15:00,00:00
Elmsford,,DISK,NY,6/30/1978 16:00,00:00
Ashtabula,,CYLINDER,OH,6/30/1978 18:00,00:00
Nashua,,DISK,NH,6/30/1978 20:00,00:00
Del Rio,,OVAL,TX,6/30/1978 20:30,00:00
Lake Havasu,,TRIANGLE,AZ,6/30/1978 21:00,00:00
New York City,,OVAL,NY,6/30/1978 21:00,00:00
Taylor,,DISK,MI,6/30/1978 21:00,00:00
Miami,,LIGHT,FL,6/30/1978 22:00,00:00
Piscataway,,,NJ,6/30/1978 22:00,00:00
Oreland,,OTHER,PA,7/1/1978 0:00,00:00
Edina,,TRIANGLE,MN,7/1/1978 0:30,00:00
Lakes Region area of Central New Hampshire,,DISK,NH,7/1/1978 1:00,00:00
Memphis,,TRIANGLE,TN,7/1/1978 1:00,00:00
Los Angeles,,CIRCLE,CA,7/1/1978 2:00,00:00
Fort Drum,RED,LIGHT,NY,7/1/1978 8:45,00:00
Chester,,CHEVRON,NY,7/1/1978 14:00,00:00
Quincy,,TRIANGLE,CA,7/1/1978 15:00,00:00
Mojave,,SPHERE,CA,7/1/1978 17:00,00:00
Carson,,,CA,7/1/1978 17:30,00:00
Riverside,,TRIANGLE,CA,7/1/1978 20:00,00:00
Toledo,,LIGHT,OH,7/1/1978 21:30,00:00
Delta,BLUE,DISK,PA,7/1/1978 22:00,00:00
Logansport,,SPHERE,IN,7/1/1978 22:00,00:00
Monsey,,TRIANGLE,NY,7/1/1978 22:00,00:00
New Rochelle,,OVAL,NY,7/1/1978 22:00,00:00
Lake Martin,,OVAL,AL,7/1/1978 23:00,00:00
Newnan,,RECTANGLE,GA,7/1/1978 23:00,00:00
Kansas City,,DISK,KS,7/2/1978 8:00,00:00
Kansas City,,DISK,PA,7/2/1978 9:00,00:00
Greenriver Lake State Park,,CIRCLE,KY,7/4/1978 2:00,00:00
Oak Harbor,,CIGAR,WA,7/4/1978 12:00,00:00
Fayetteville,,DISK,NC,7/4/1978 19:00,00:00
San Diego,,TRIANGLE,CA,7/4/1978 19:00,00:00
Nashua,,CIRCLE,NH,7/4/1978 20:00,00:00
Reseda,RED,SPHERE,CA,7/4/1978 21:00,00:00
Danville,,SPHERE,IL,7/4/1978 22:15,00:00
Morgantown,,VARIOUS,WV,7/4/1978 23:00,00:00
Allentown,,DISK,PA,7/4/1978 23:59,00:00
New Albany,,OTHER,IN,7/7/1978 12:00,00:00
Ardmore,,SPHERE,AL,7/7/1978 13:00,00:00
Tahlequah,,TRIANGLE,OK,7/7/1978 22:00,00:00
Shelby,,LIGHT,NC,7/8/1978 0:30,00:00
Grand Rapids,,TRIANGLE,MI,7/10/1978 21:00,00:00
Corry,GREEN,LIGHT,PA,7/12/1978 8:00,00:00
San Diego,BLUE,LIGHT,CA,7/12/1978 22:00,00:00
New Symrna beach,,FORMATION,FL,7/14/1978 14:30,00:00
Spokane,,DISK,WA,7/14/1978 22:30,00:00
Santa Fe,RED,LIGHT,NM,7/15/1978 0:00,00:00
Gautier,,DISK,MS,7/15/1978 2:00,00:00
Mesa,,CIGAR,AZ,7/15/1978 12:00,00:00
Weston,,DISK,MA,7/15/1978 16:00,00:00
Pointe Reyes,,SPHERE,CA,7/15/1978 17:00,00:00
Amenia,,DISK,ND,7/15/1978 18:00,00:00
Ottawa,RED,OVAL,KS,7/15/1978 18:30,00:00
Fort Mill,,CIRCLE,SC,7/15/1978 20:30,00:00
San Francisco,,DISK,CA,7/15/1978 20:45,00:00
March Air Force Base,,DISK,CA,7/15/1978 21:30,00:00
Grant,GREEN,LIGHT,CO,7/15/1978 22:00,00:00
Fargo,,TRIANGLE,ND,7/15/1978 23:00,00:00
Centereach,RED,DISK,NY,7/16/1978 21:00,00:00
Hammond,,OTHER,IN,7/18/1978 1:00,00:00
Mojave,,LIGHT,CA,7/19/1978 21:00,00:00
New York City,RED,TRIANGLE,NY,7/20/1978 2:00,00:00
Arizona,,LIGHT,AZ,7/20/1978 4:15,00:00
Livonia,GREEN,FORMATION,MI,7/20/1978 20:00,00:00
Pine Grove,,FORMATION,CA,7/20/1978 20:00,00:00
Westport,,,OR,7/20/1978 23:00,00:00
Ft Irin,,OVAL,CA,7/22/1978 1:30,00:00
Gulfport,,CHEVRON,MS,7/22/1978 2:30,00:00
Phoenix,,VARIOUS,AZ,7/22/1978 18:00,00:00
Brenham,,,TX,7/22/1978 20:00,00:00
Kingsport,RED,DISK,TN,7/25/1978 21:00,00:00
St. Robert,,LIGHT,MO,7/25/1978 21:30,00:00
St. Robert,RED,LIGHT,MO,7/26/1978 0:00,00:00
Eureka,,LIGHT,MO,7/26/1978 15:00,00:00
St. Louis,,,MO,7/26/1978 18:30,00:00
Union,ORANGE,LIGHT,MO,7/26/1978 20:00,00:00
Union,,LIGHT,MO,7/26/1978 22:00,00:00
Union,,LIGHT,MO,7/27/1978 0:45,00:00
Fort Stockton,,LIGHT,TX,7/27/1978 21:00,00:00
Valdosta,,OTHER,GA,7/29/1978 16:00,00:00
Highland,,DISK,IN,7/29/1978 23:30,00:00
Myles Inlet,,OTHER,SC,7/30/1978 23:50,00:00
Phelan,,OVAL,CA,8/1/1978 5:30,00:00
Van Nuys,,SPHERE,CA,8/1/1978 12:00,00:00
Clifton Park,,OVAL,NY,8/1/1978 19:30,00:00
Garland,RED,DISK,TX,8/1/1978 20:00,00:00
Dundee,,SPHERE,FL,8/1/1978 20:30,00:00
Yakima,,LIGHT,WA,8/1/1978 21:00,00:00
Clarksville,,CIRCLE,TN,8/1/1978 22:00,00:00
Reading,,FORMATION,PA,8/1/1978 22:00,00:00
Shelley,,LIGHT,ID,8/2/1978 23:00,00:00
Coldwater,,CYLINDER,MI,8/3/1978 22:00,00:00
Ketchikan,,RECTANGLE,AK,8/5/1978 14:00,00:00
Black Hills,BLUE,LIGHT,AZ,8/6/1978 22:00,00:00
Pecos,,DISK,NM,8/7/1978 22:00,00:00
San Diego,,OVAL,CA,8/10/1978 22:00,00:00
Spokane,,DISK,WA,8/10/1978 22:20,00:00
Auburn,,,CA,8/11/1978 22:00,00:00
Des Moines,,TRIANGLE,IA,8/12/1978 2:00,00:00
Arizona,,FORMATION,AZ,8/13/1978 11:00,00:00
Saginaw,,FORMATION,MI,8/14/1978 13:00,00:00
Simi Valley,,FIREBALL,CA,8/15/1978 2:00,00:00
West Bloomfield,GREEN,FLASH,MI,8/15/1978 2:00,00:00
Longmont,,RECTANGLE,CO,8/15/1978 12:00,00:00
Rochester,,,MN,8/15/1978 13:00,00:00
Gadsden,,SPHERE,AL,8/15/1978 15:30,00:00
Romayor,RED,FIREBALL,TX,8/15/1978 16:30,00:00
Covington,,DISK,WA,8/15/1978 17:00,00:00
Cape Cod,,OTHER,MA,8/15/1978 18:00,00:00
Provo,,DISK,UT,8/15/1978 18:00,00:00
Carbon Hill,,TRIANGLE,AL,8/15/1978 19:30,00:00
Statesboro,,LIGHT,GA,8/15/1978 20:30,00:00
Lawrenceburg,,CIGAR,TN,8/15/1978 21:00,00:00
Suffolk,,CIRCLE,VA,8/15/1978 21:00,00:00
Ticonderoga,,TRIANGLE,NY,8/15/1978 21:00,00:00
Heath,,CIRCLE,MA,8/15/1978 22:00,00:00
Steubenville,,DISK,OH,8/15/1978 22:00,00:00
Pendleton,,LIGHT,OR,8/15/1978 23:00,00:00
Fullerton,,CYLINDER,CA,8/16/1978 0:00,00:00
Ridgecrest,,DISK,CA,8/17/1978 23:00,00:00
Harvey,,DISK,MI,8/18/1978 20:00,00:00
New Britain,,FIREBALL,CT,8/19/1978 1:00,00:00
La Mesa,YELLOW,DISK,CA,8/20/1978 0:00,00:00
Lake Geneva,,DISK,WI,8/20/1978 21:15,00:00
Bastrop,,RECTANGLE,LA,8/21/1978 19:00,00:00
Monroe-Bastrop,,RECTANGLE,LA,8/21/1978 19:00,00:00
Langhorne,,DISK,PA,8/22/1978 20:00,00:00
Bluepoint,,DISK,NY,8/23/1978 19:00,00:00
Fort Worth,,TRIANGLE,TX,8/24/1978 17:00,00:00
Santa Rosa,ORANGE,OVAL,CA,8/25/1978 19:30,00:00
St. Petersburg,,LIGHT,FL,8/27/1978 3:00,00:00
Avon,,RECTANGLE,CT,8/30/1978 1:00,00:00
San Francisco,,CIRCLE,CA,9/1/1978 3:00,00:00
Sioux City,,OTHER,IA,9/1/1978 14:00,00:00
Memphis,,TRIANGLE,TN,9/1/1978 19:00,00:00
Sunnyside,,LIGHT,WA,9/1/1978 19:00,00:00
Greenfield,,LIGHT,IN,9/1/1978 21:15,00:00
Bartlett,,DISK,IL,9/1/1978 22:00,00:00
Leavenworth,ORANGE,LIGHT,KS,9/2/1978 21:00,00:00
Imperial Beach,YELLOW,OTHER,CA,9/9/1978 21:00,00:00
Wells,,TRIANGLE,ME,9/15/1978 10:00,00:00
Flemington,,OVAL,FL,9/15/1978 16:00,00:00
Covington,,DISK,WA,9/15/1978 18:00,00:00
Hayward,,,WI,9/15/1978 20:00,00:00
Pampa,GREEN,LIGHT,TX,9/15/1978 20:00,00:00
Braceville,,DIAMOND,OH,9/15/1978 21:00,00:00
Shelby,,TRIANGLE,OH,9/15/1978 23:00,00:00
Tampa,,SPHERE,FL,9/20/1978 16:00,00:00
Park Ridge,,RECTANGLE,IL,9/20/1978 20:00,00:00
Chelmsford,,DISK,MA,9/28/1978 18:00,00:00
Windsor,,CONE,NC,10/1/1978 0:00,00:00
Lecompte,,DISK,LA,10/1/1978 20:00,00:00
Francesville,,CYLINDER,IN,10/1/1978 23:15,00:00
Burt,,CIRCLE,MI,10/3/1978 18:00,00:00
Philadelphia,,SPHERE,PA,10/4/1978 19:30,00:00
Hudson,,CIRCLE,NH,10/5/1978 20:00,00:00
Elmont,,RECTANGLE,NY,10/10/1978 2:00,00:00
Brighton,,CIRCLE,MI,10/11/1978 23:00,00:00
Kannapolis,,DISK,NC,10/12/1978 3:30,00:00
Dyersburg,,TRIANGLE,TN,10/12/1978 21:00,00:00
Alpine,,CIRCLE,AZ,10/12/1978 23:00,00:00
Atlanta,,DISK,GA,10/14/1978 7:00,00:00
Greenwich,,CIRCLE,CT,10/15/1978 0:00,00:00
Redondo Beach,,OTHER,CA,10/15/1978 0:00,00:00
Des Plaines,,DISK,IL,10/15/1978 2:30,00:00
Shelby Township,,DISK,MI,10/15/1978 18:00,00:00
Coeur d'Alene,,OVAL,ID,10/15/1978 19:00,00:00
Port St. Joe,,CIRCLE,FL,10/15/1978 19:30,00:00
Cherokee,,LIGHT,NC,10/15/1978 20:00,00:00
"Haena, Kauai",BLUE,LIGHT,HI,10/15/1978 21:00,00:00
Candia,,OVAL,NH,10/15/1978 22:00,00:00
Birmingham,,OVAL,AL,10/18/1978 23:30,00:00
West Seneca,,TRIANGLE,NY,10/20/1978 22:00,00:00
Virginia City,,OTHER,MT,10/25/1978 16:00,00:00
Monroe,,DISK,NC,10/25/1978 21:00,00:00
Culloden,,,WV,11/1/1978 3:00,00:00
Mooresville,,OTHER,IN,11/1/1978 8:00,00:00
June Lake,,DISK,CA,11/1/1978 10:00,00:00
San Angelo,,CHEVRON,TX,11/1/1978 13:00,00:00
Troy,,LIGHT,NY,11/1/1978 20:00,00:00
Lebanon,RED,TRIANGLE,NH,11/5/1978 19:00,00:00
Carlyss,,LIGHT,LA,11/11/1978 13:00,00:00
Las Vegas,,CIGAR,NV,11/15/1978 20:00,00:00
West Tibury,,DISK,MA,11/15/1978 23:00,00:00
Interstate 80,,OTHER,WY,11/17/1978 15:00,00:00
North Branch,,RECTANGLE,MN,11/21/1978 23:45,00:00
Fredericksburg,,LIGHT,TX,11/25/1978 22:00,00:00
Baileyville,,LIGHT,ME,11/27/1978 19:00,00:00
Ukiah,,SPHERE,CA,11/27/1978 19:00,00:00
Ukiah,,SPHERE,CA,11/27/1978 20:00,00:00
Arvana,,DISK,TX,11/28/1978 0:00,00:00
Arvana-Lamesa,,DISK,TX,11/28/1978 18:00,00:00
Mt. Rainier National Park,,,WA,11/29/1978 3:00,00:00
Deer Park,,DISK,WA,11/30/1978 8:00,00:00
Rockland County,,,NY,12/1/1978 1:00,00:00
Edison,,OTHER,NJ,12/1/1978 1:30,00:00
Ringwood,,TRIANGLE,NJ,12/9/1978 19:00,00:00
Mexico,,DISK,PA,12/10/1978 1:00,00:00
Lake Don Pedro,,RECTANGLE,CA,12/15/1978 14:00,00:00
Sisters,,OTHER,OR,12/15/1978 20:00,00:00
Huntington Park,,DISK,CA,12/20/1978 17:00,00:00
Seattle,,DISK,WA,12/20/1978 18:00,00:00
Helmetta,,CIRCLE,NJ,12/20/1978 19:00,00:00
Valdosta,,CHEVRON,GA,12/23/1978 21:30,00:00
Indianapolis,RED,DISK,IN,12/23/1978 22:00,00:00
Hopewell,,DISK,NJ,12/31/1978 0:30,00:00
Hwy 80,,DISK,CA,1/1/1979 2:00,00:00
Orange,,DISK,CA,1/1/1979 17:00,00:00
Redondo Beach,RED,DISK,CA,1/1/1979 20:00,00:00
Norman,,,OK,1/2/1979 3:00,00:00
Key West,,DISK,FL,1/9/1979 14:30,00:00
Los Angeles,,FIREBALL,CA,1/15/1979 17:00,00:00
Clines Corners,,TRIANGLE,NM,1/15/1979 20:00,00:00
Salt Lake City,,TRIANGLE,UT,1/15/1979 20:30,00:00
Houston,,RECTANGLE,TX,1/31/1979 11:00,00:00
Lake Arrowhead,,CIRCLE,CA,2/1/1979 2:30,00:00
Tallmadge,,TRIANGLE,OH,2/5/1979 21:00,00:00
Helena,,DISK,MT,2/10/1979 9:30,00:00
Huntersville,,OVAL,NC,2/10/1979 23:00,00:00
Louden County,,DISK,VA,2/11/1979 14:00,00:00
Alexandria,,LIGHT,VA,2/13/1979 1:00,00:00
Grover Beach,,OTHER,CA,2/15/1979 21:30,00:00
Pismo Beach,,TRIANGLE,CA,2/20/1979 2:00,00:00
Tallmadge,,TRIANGLE,OH,2/25/1979 21:00,00:00
Medford,,,OR,3/1/1979 4:00,00:00
Downey,,CHEVRON,CA,3/1/1979 23:29,00:00
Buies Creek,,DISK,NC,3/10/1979 2:00,00:00
California Hot Springs,,DISK,CA,3/10/1979 20:00,00:00
Lee's Summit,,FLASH,MO,3/11/1979 16:00,00:00
Woodinville,,LIGHT,WA,3/15/1979 19:00,00:00
Baker City,,CIGAR,OR,3/24/1979 22:00,00:00
Big Sur,,TRIANGLE,CA,3/25/1979 20:00,00:00
North Webster,,OTHER,IN,3/25/1979 23:50,00:00
Middletown,,DISK,PA,3/29/1979 5:30,00:00
Between Jackson Fla.,,CIRCLE,GA,3/30/1979 22:00,00:00
Middletown,,OVAL,PA,3/31/1979 6:10,00:00
Salinas,,DISK,CA,4/1/1979 17:00,00:00
Berkeley,,RECTANGLE,CA,4/1/1979 21:00,00:00
Thomasville,RED,TRIANGLE,NC,4/1/1979 22:00,00:00
West Milford,,DISK,NJ,4/2/1979 0:00,00:00
Dallas,BLUE,LIGHT,TX,4/4/1979 6:00,00:00
Portland,,TRIANGLE,OR,4/4/1979 13:00,00:00
East Providence,,CHEVRON,RI,4/12/1979 22:00,00:00
Jupiter,,LIGHT,FL,4/13/1979 2:00,00:00
Jacksonville,,OTHER,TX,4/15/1979 3:00,00:00
Monterey,,RECTANGLE,NY,4/15/1979 8:00,00:00
Kenton,,FORMATION,MI,4/15/1979 10:00,00:00
Lexington,,TRIANGLE,NC,4/15/1979 21:00,00:00
North Brunswick,,CIRCLE,NJ,4/15/1979 22:50,00:00
New Brunswick,,DISK,NJ,4/20/1979 14:00,00:00
Gainesville,,FIREBALL,FL,5/1/1979 21:00,00:00
Marlboro,YELLOW,CIRCLE,NJ,5/5/1979 16:00,00:00
Kerrville,,DIAMOND,TX,5/5/1979 20:30,00:00
Watson,,DISK,LA,5/6/1979 1:00,00:00
Panama City Beach,,LIGHT,FL,5/6/1979 21:00,00:00
Wordens Pond Road,,DISK,RI,5/15/1979 1:00,00:00
Albuquerque,,CIRCLE,NM,5/15/1979 2:00,00:00
Sanderville,,OVAL,MS,5/15/1979 14:30,00:00
Omaha,,TRIANGLE,NE,5/15/1979 20:00,00:00
San Antonio,,OTHER,TX,5/15/1979 20:30,00:00
Bradford,,CIRCLE,PA,5/18/1979 10:00,00:00
Brady,,,TX,5/21/1979 21:00,00:00
Baltic,,TRIANGLE,SD,5/22/1979 21:00,00:00
Daytona,,DISK,FL,5/26/1979 17:30,00:00
Minot,,RECTANGLE,ND,6/1/1979 0:00,00:00
Tatum,,LIGHT,TX,6/1/1979 5:00,00:00
Cleveland,,CROSS,OH,6/1/1979 16:00,00:00
Laredo,,CIRCLE,TX,6/1/1979 16:00,00:00
Alameda,,DISK,CA,6/1/1979 18:00,00:00
Morrice,,DISK,MI,6/1/1979 18:45,00:00
Ithaca,,CIGAR,NY,6/1/1979 19:00,00:00
Margate,,OVAL,FL,6/1/1979 20:00,00:00
Mesa,,OTHER,AZ,6/1/1979 20:30,00:00
Fredericksburg,,OTHER,VA,6/1/1979 21:00,00:00
Griffin,,DISK,GA,6/1/1979 21:00,00:00
Knoxville,,LIGHT,TN,6/1/1979 21:00,00:00
Victory Heights,,LIGHT,PA,6/1/1979 21:00,00:00
Whitman,,SPHERE,MA,6/1/1979 21:00,00:00
Wilsonville,,CIRCLE,IL,6/1/1979 21:15,00:00
Castro Valley,,RECTANGLE,CA,6/1/1979 22:00,00:00
Court House Bay,,LIGHT,NC,6/1/1979 22:00,00:00
Farmington,,RECTANGLE,NY,6/1/1979 22:00,00:00
Hollister,,EGG,CA,6/1/1979 22:00,00:00
Whidbey Island,,CIRCLE,WA,6/1/1979 22:00,00:00
Marion,,TRIANGLE,IN,6/1/1979 23:00,00:00
Attica,,DISK,MI,6/1/1979 23:40,00:00
Paterson,,OTHER,NJ,6/5/1979 18:30,00:00
Green Township,,OTHER,PA,6/8/1979 0:00,00:00
Huntington,,,NY,6/10/1979 19:00,00:00
Sagamore Hills,,,OH,6/15/1979 3:00,00:00
Los Angeles,,,CA,6/15/1979 4:30,00:00
Dorchester,YELLOW,OTHER,IA,6/15/1979 14:00,00:00
Baton Rouge,,DISK,LA,6/15/1979 15:00,00:00
Woodland,,,WA,6/15/1979 15:00,00:00
Fort Worth,,TEARDROP,TX,6/15/1979 17:00,00:00
Manteca,BLUE,DISK,CA,6/15/1979 19:00,00:00
Oquawka,,RECTANGLE,IL,6/15/1979 19:00,00:00
Baton Rouge,,DISK,LA,6/15/1979 19:30,00:00
San Jose,,DISK,CA,6/15/1979 20:00,00:00
Huntsville,RED YELLOW,OVAL,TN,6/15/1979 21:00,00:00
Jonesboro,,,AR,6/15/1979 23:00,00:00
Napa,,TRIANGLE,CA,6/16/1979 23:30,00:00
Terre Haute,,VARIOUS,IN,6/20/1979 13:00,00:00
Orlando,,CIRCLE,FL,6/20/1979 18:00,00:00
Valley Cottage,,DISK,NY,6/20/1979 20:00,00:00
Bohemia,,LIGHT,NY,6/20/1979 23:30,00:00
Las Vegas,BLUE,,NV,6/23/1979 0:00,00:00
Two Rivers,,CIGAR,WI,6/26/1979 0:00,00:00
St. Paul,YELLOW,LIGHT,MN,6/29/1979 22:45,00:00
Leola,GREEN,LIGHT,PA,6/30/1979 1:00,00:00
Richmond,,FORMATION,ME,6/30/1979 20:00,00:00
Columbia City,,TRIANGLE,IN,6/30/1979 21:00,00:00
Ramona,GREEN,LIGHT,CA,6/30/1979 21:00,00:00
Wilsonville,,CIRCLE,IL,6/30/1979 21:00,00:00
Janesville,,FIREBALL,IL,6/30/1979 23:00,00:00
Sunnyvale,GREEN,,CA,6/30/1979 23:30,00:00
Florence,,DISK,MS,7/1/1979 0:00,00:00
Maxwelton Beach,,CIRCLE,WA,7/1/1979 0:00,00:00
Chico,,OTHER,CA,7/1/1979 1:00,00:00
Chico,,RECTANGLE,CA,7/1/1979 3:00,00:00
East Orange,,DISK,NJ,7/1/1979 10:00,00:00
Desert Center,,LIGHT,CA,7/1/1979 18:00,00:00
Whitman,,DISK,MA,7/1/1979 19:00,00:00
Whitman,,DISK,MA,7/1/1979 19:00,00:00
Houghton Lake,,LIGHT,MI,7/1/1979 23:00,00:00
Syracuse,,LIGHT,NY,7/4/1979 23:00,00:00
Tampa,,DISK,FL,7/5/1979 2:30,00:00
Pichacho Peak,,OTHER,AZ,7/6/1979 10:00,00:00
Pasadena,,FORMATION,MD,7/10/1979 19:00,00:00
Kansas City,RED,CYLINDER,MO,7/11/1979 2:00,00:00
Santa Clarita,,DISK,CA,7/13/1979 22:00,00:00
Honeoye Falls,,CIGAR,NY,7/14/1979 8:00,00:00
Arcadia,,CIGAR,WI,7/15/1979 1:30,00:00
Cumberland,,OTHER,KY,7/15/1979 1:30,00:00
Clackamas,,LIGHT,OR,7/15/1979 7:30,00:00
Hattiesburg,,,MS,7/15/1979 12:00,00:00
Fairmount,,CIGAR,IN,7/15/1979 14:00,00:00
Lansing,,OTHER,MI,7/15/1979 14:00,00:00
Yorktown,,CIGAR,IN,7/15/1979 14:00,00:00
Apple Valley,,SPHERE,CA,7/15/1979 14:30,00:00
La Habra,,TRIANGLE,CA,7/15/1979 19:00,00:00
Louisville,,DISK,KY,7/15/1979 21:30,00:00
Rancho Palos Verdes,,CHEVRON,CA,7/15/1979 21:30,00:00
Ranger,,TRIANGLE,WV,7/15/1979 21:30,00:00
Yakima,,OTHER,WA,7/15/1979 22:30,00:00
