City,Colors Reported,Shape Reported,State,Time,hour
Raton,,OVAL,NM,7/20/1947 22:00,00:00
Modesto,BLUE,DISK,CA,8/8/1947 22:00,00:00
Green Valley,,,WI,8/10/1947 20:00,00:00
Henrietta,,LIGHT,OK,8/12/1947 1:00,00:00
Saranac Lake,,DISK,NY,8/12/1947 22:00,00:00
Proctor,,CIGAR,OK,8/15/1947 20:15,00:00
Whitmore Lake,,CIGAR,MI,12/24/1947 21:00,00:00
Kelseyville,,DISK,CA,4/30/1948 12:00,00:00
Scipio,RED,SPHERE,IN,5/10/1948 19:00,00:00
Borger,,DISK,TX,6/15/1948 16:00,00:00
Baltimore,,OVAL,MD,6/30/1948 0:00,00:00
Jim Ridge,,,WV,6/30/1948 8:00,00:00
Ojai,,LIGHT,CA,7/15/1948 22:00,00:00
New York City,,CIRCLE,NY,8/1/1948 2:00,00:00
Conshohocken,,OVAL,PA,8/15/1948 12:00,00:00
Sharpsburg,,CIRCLE,MD,12/12/1948 23:30,00:00
Seattle,,DISK,WA,4/10/1949 15:00,00:00
Oak Ridge,,OTHER,WV,5/1/1949 14:00,00:00
Grays,,LIGHT,SC,5/15/1949 6:30,00:00
Los Angeles,,CIRCLE,CT,6/4/1949 10:00,00:00
Anchorage,,DISK,AK,6/10/1949 21:00,00:00
Knoxville,,OTHER,TN,6/30/1949 15:00,00:00
Salem,,CIGAR,OR,6/30/1949 21:00,00:00
Fairbanks,,DISK,AK,7/1/1949 11:00,00:00
Marion,,FORMATION,AL,7/1/1949 16:00,00:00
Booneville,,,MS,7/15/1949 20:30,00:00
Excelsior,,CIRCLE,MN,8/15/1949 0:00,00:00
Mill Valley,,LIGHT,CA,8/15/1949 21:00,00:00
Tarrant City,ORANGE,CIRCLE,AL,8/15/1949 22:00,00:00
Steilacoom,,DISK,WA,8/25/1949 19:00,00:00
Mt Gilead,,CIRCLE,OH,9/15/1949 21:00,00:00
Post,,DISK,TX,9/15/1949 21:00,00:00
San Marcos,,CYLINDER,TX,10/10/1949 20:30,00:00
Lackland AFB,,LIGHT,TX,10/10/1949 21:00,00:00
Baltimore,,CIGAR,MD,10/15/1949 20:00,00:00
Mount Hope,,,WV,1/1/1950 22:00,00:00
New York City,,OVAL,NY,1/2/1950 0:00,00:00
Roswell,RED,,NM,3/22/1950 0:00,00:00
Arkansas,,DISK,AR,4/15/1950 8:00,00:00
Waynesborough,,DISK,VA,4/15/1950 14:00,00:00
Fort Lewis,,TRIANGLE,WA,5/12/1950 14:00,00:00
Crowder,,,MS,6/1/1950 0:00,00:00
Philadelphia,,DISK,MS,6/1/1950 16:00,00:00
Pittsburgh,,OVAL,PA,6/1/1950 20:00,00:00
Kensington,,OVAL,MD,6/7/1950 20:00,00:00
Kansas City,,DISK,MO,6/8/1950 10:00,00:00
Napa,GREEN,DISK,CA,6/10/1950 0:00,00:00
Grosse Pointe Park,,OVAL,MI,6/15/1950 13:00,00:00
Bonifay,,DISK,FL,6/15/1950 20:00,00:00
Fort Worth,,DISK,TX,6/15/1950 20:00,00:00
Booneville,,DISK,MS,6/20/1950 10:00,00:00
Galveston,,SPHERE,TX,6/20/1950 17:00,00:00
Lac Du Flambeau,,DISK,WI,6/30/1950 16:00,00:00
Florence,,DISK,CO,6/30/1950 17:30,00:00
Florence,,LIGHT,CO,6/30/1950 17:30,00:00
Coeur d'Alene,ORANGE,CIGAR,ID,7/2/1950 13:00,00:00
Bay St. Louis,,LIGHT,MS,7/2/1950 21:00,00:00
East Palestine,,LIGHT,OH,7/10/1950 20:30,00:00
Newark,,SPHERE,NJ,7/15/1950 21:30,00:00
Los Padres National Forest,,FORMATION,CA,7/15/1950 23:00,00:00
Smithport,,DISK,PA,7/20/1950 21:30,00:00
Louisville,,OTHER,KY,8/1/1950 4:00,00:00
Stanfield,,DISK,OR,8/15/1950 14:00,00:00
Pikeville,,DISK,KY,10/1/1950 11:00,00:00
Sandy Hook,,TRIANGLE,NJ,10/15/1950 15:00,00:00
Half Moon Bay,,OTHER,CA,12/12/1950 22:00,00:00
Palm Springs,,CIGAR,CA,1/20/1951 4:30,00:00
Thompsonville,,DISK,CT,2/3/1951 22:00,00:00
Los Angeles,,DISK,CA,2/15/1951 11:00,00:00
Irving,BLUE,DISK,KS,4/15/1951 0:30,00:00
Fort Sill,,OVAL,OK,5/15/1951 3:00,00:00
Oklahoma,,CIGAR,OK,6/1/1951 19:00,00:00
Jasper,,OVAL,NC,6/3/1951 13:00,00:00
Mount Pinos,,DISK,CA,6/6/1951 2:00,00:00
Greenville,GREEN,DISK,MS,6/15/1951 20:30,00:00
Jackson Heights,,DISK,NY,6/30/1951 7:00,00:00
Birmingham,,,AL,6/30/1951 19:00,00:00
Otis Orchards,,DISK,WA,7/1/1951 3:00,00:00
Atlanta,,,GA,7/1/1951 14:00,00:00
Calaveras County,,DISK,CA,7/3/1951 3:00,00:00
Green River,GREEN,SPHERE,WY,7/3/1951 12:00,00:00
Provo,BLUE,DISK,UT,7/10/1951 23:30,00:00
Spokane Valley,,SPHERE,WA,7/15/1951 14:00,00:00
Sunland,,CIRCLE,CA,8/10/1951 1:00,00:00
Altoona,,DISK,PA,8/15/1951 13:00,00:00
Jacksonville,,DISK,FL,10/15/1951 20:00,00:00
Holloman AFB,,CIRCLE,NM,11/15/1951 6:00,00:00
Salt Lake City,,,UT,1/1/1952 0:00,00:00
Binghamton,,DISK,NY,2/10/1952 21:00,00:00
Nellis AFB,,DISK,NV,2/17/1952 18:00,00:00
Chicago,,DISK,IL,4/15/1952 13:00,00:00
Greenville,ORANGE,TRIANGLE,TX,4/15/1952 16:00,00:00
Pittsburgh,,CYLINDER,PA,5/15/1952 10:15,00:00
Allyn,,DISK,WA,5/15/1952 20:00,00:00
Dousman,,,WI,6/1/1952 11:00,00:00
Norfolk,RED,FIREBALL,VA,6/1/1952 22:00,00:00
Evergreen,,DISK,CO,6/6/1952 13:00,00:00
Chicago,,CIRCLE,IL,6/10/1952 12:00,00:00
Fortville,,DISK,IN,6/13/1952 7:30,00:00
Luke Airforce Base,,EGG,AZ,6/15/1952 0:00,00:00
Piedra Blanka,,CIGAR,CA,6/15/1952 0:00,00:00
Jacksonville,,TRIANGLE,FL,6/15/1952 21:00,00:00
Maywood,,CIRCLE,CA,6/15/1952 23:00,00:00
Lansing,,OTHER,MI,6/21/1952 22:00,00:00
Chester,,OVAL,PA,6/22/1952 17:45,00:00
Cheyenne,,DISK,WY,6/30/1952 0:00,00:00
Pecos,,DISK,TX,6/30/1952 3:00,00:00
Barksdale AFB,,,LA,6/30/1952 6:00,00:00
Miami,,LIGHT,FL,6/30/1952 9:00,00:00
New York City,,DISK,NY,6/30/1952 13:00,00:00
Auburn,,OVAL,WA,6/30/1952 18:30,00:00
Miami,,DISK,FL,6/30/1952 21:00,00:00
Miami,,DISK,FL,6/30/1952 21:00,00:00
Miami,,LIGHT,FL,6/30/1952 21:00,00:00
Sebeka,,OTHER,MN,7/1/1952 15:00,00:00
Detroit,,SPHERE,MI,7/1/1952 22:00,00:00
Tacoma,,SPHERE,WA,7/5/1952 16:00,00:00
Evergreen,,CIRCLE,CO,7/7/1952 10:00,00:00
Arlington,,DISK,TX,7/7/1952 13:00,00:00
Arlington,GREEN,OVAL,VA,7/13/1952 21:00,00:00
Wilmington,,DISK,CA,7/15/1952 12:00,00:00
,,DISK,CA,7/15/1952 12:30,00:00
Litchfield,,OTHER,PA,7/15/1952 13:00,00:00
South Gate,,CIRCLE,CA,7/15/1952 14:00,00:00
North Bend,,OTHER,WA,7/15/1952 18:30,00:00
New York City,,OTHER,NY,7/15/1952 19:00,00:00
Okolona,,OVAL,MS,7/22/1952 9:30,00:00
Tacoma,,SPHERE,WA,7/25/1952 16:00,00:00
Manville,,SPHERE,RI,7/30/1952 15:00,00:00
Tampa,,OVAL,FL,8/1/1952 21:30,00:00
Smithson's Valley,,CIGAR,TX,8/15/1952 17:00,00:00
Prairie Grove,,DISK,AR,8/15/1952 17:30,00:00
Hamilton,,LIGHT,OH,8/15/1952 22:15,00:00
Philadelphia,,CIRCLE,PA,9/9/1952 20:00,00:00
Norridgewock,,DISK,ME,9/15/1952 14:00,00:00
Kansas City,,DISK,MO,10/1/1952 12:00,00:00
Richland,,CIRCLE,WA,10/15/1952 21:00,00:00
Chicago,,OTHER,IL,12/6/1952 19:00,00:00
Camp McCoy,,CYLINDER,WI,12/30/1952 12:00,00:00
Nebraska,,,NE,1/1/1953 0:00,00:00
Oklahoma,,CIGAR,TX,1/1/1953 14:00,00:00
Palm Springs,,,CA,3/15/1953 0:00,00:00
Haverhill,,CHEVRON,MA,4/1/1953 15:00,00:00
Cambridge,RED,SPHERE,MA,4/1/1953 18:00,00:00
Chariton,,OTHER,IA,4/10/1953 13:00,00:00
Los Angeles,,FIREBALL,CA,4/15/1953 12:00,00:00
Midwest City,YELLOW,FIREBALL,OK,4/15/1953 16:00,00:00
Jamison,,CIGAR,PA,4/30/1953 16:00,00:00
Kingman,,,AZ,5/20/1953 8:00,00:00
Fresno,,,CA,6/1/1953 21:00,00:00
Roswell,,,NM,6/15/1953 0:00,00:00
Wenatchee,,DISK,WA,6/15/1953 12:00,00:00
Fort Worth,,SPHERE,TX,6/15/1953 13:00,00:00
North Bend,,CIRCLE,WA,6/15/1953 18:00,00:00
Galveston,,CIGAR,TX,6/17/1953 7:30,00:00
Cleveland,RED,FIREBALL,OH,6/30/1953 0:00,00:00
Kelso,,OVAL,WA,6/30/1953 15:00,00:00
Colorado Springs,,DISK,CO,7/1/1953 5:30,00:00
,BLUE,DISK,MT,7/4/1953 14:00,00:00
Ogallala,,OTHER,NE,7/4/1953 21:00,00:00
Nashville,,CYLINDER,TN,7/15/1953 13:00,00:00
Dublin,,CONE,IN,7/17/1953 22:00,00:00
Berkeley,,FIREBALL,MO,8/1/1953 12:00,00:00
"San Bernadino Mtns, Church Camp",,DISK,CA,8/1/1953 14:00,00:00
Vallejo,,LIGHT,CA,8/7/1953 21:00,00:00
Louisville,,CIRCLE,KY,8/15/1953 11:00,00:00
Artesia,ORANGE,OTHER,NM,8/15/1953 19:00,00:00
Bowleys Quarters,,SPHERE,MD,8/15/1953 21:00,00:00
Homer,,,PA,9/15/1953 14:00,00:00
Mauriceville,,DISK,TX,10/15/1953 14:00,00:00
New Orleans,,OVAL,LA,10/31/1953 19:00,00:00
Cicero,,OTHER,IL,11/13/1953 20:00,00:00
Keansburg,,CIRCLE,NJ,11/15/1953 3:00,00:00
Pendleton,GREEN,DISK,IN,11/21/1953 22:30,00:00
Lackland Air Force Base,,DISK,TX,11/25/1953 4:25,00:00
Brunswick,,,ME,1/1/1954 0:00,00:00
Lakeland,,DISK,FL,1/1/1954 1:00,00:00
Souix City,,CIRCLE,IA,1/1/1954 22:00,00:00
Santa Monica,,LIGHT,CT,1/15/1954 20:00,00:00
Fairbanks,,,AK,2/1/1954 2:00,00:00
Burney,,DISK,CA,2/15/1954 19:30,00:00
Stanford Campus,,DISK,CA,4/1/1954 22:00,00:00
Corvallis,,DIAMOND,OR,5/15/1954 12:00,00:00
Quincy,,DISK,IL,5/26/1954 4:30,00:00
Houston,,DISK,TX,6/1/1954 0:00,00:00
Ovid,,DISK,NY,6/1/1954 6:00,00:00
Springfield,,CYLINDER,IL,6/1/1954 8:00,00:00
El Cerrito,,LIGHT,CA,6/1/1954 19:00,00:00
Toledo,,DISK,OH,6/1/1954 19:00,00:00
Norfolk,,DISK,VA,6/1/1954 20:00,00:00
Philadelphia,,DISK,PA,6/1/1954 20:00,00:00
Fish Canyon,,LIGHT,CA,6/1/1954 23:00,00:00
Atlanta,,DISK,GA,6/6/1954 10:00,00:00
Estes Park,,CIGAR,CO,6/10/1954 20:00,00:00
Glenburn,,,ME,6/11/1954 2:00,00:00
Palm Beach,,LIGHT,CA,6/15/1954 11:00,00:00
